DocNumber;ProductDesignation
0110000822018;EGG FRIED RICE
0110000822018;NOODLES WITH MEAT
0110000822018; NO MEAT
0110000822018;TOFFEE BANANA COMPLEMENTARY
0110000832018;SPRING ROLL
0110000832018;SWEET SOUR PORK
0110000832018;LEMON CHICKEN
0110000832018;EGG FRIED RICE
0110000832018;MINERAL WATER 1.5LT
0110000842018;SPRING ROLL
0110000842018;MIXED PLATTER SUSHI
0110000842018;DRAGON MAKI
0110000842018;1/4 DUCK
0110000842018;EGG FRIED RICE
0110000842018;BEEF OYSTER SAUCE
0110000842018;SWEET SOUR CHICKEN
0110000842018;MINERAL WATER 1.5LT
0110000842018;LEVANDA ROSE
0110000842018;MINERAL WATER 1.5LT
0110000842018;TOFFEE BANANA COMPLEMENTARY
0110000852018;SPRING ROLL
0110000852018;SESAME PRAWNS
0110000852018;1/4 DUCK
0110000852018;SWEET SOUR CHICKEN
0110000852018;SPECIAL MONTPARNASSE RICE
0110000852018;MINERAL WATER 1.5LT
0110000862018;SPRING ROLL
0110000862018;SALT PEPPER SQUID
0110000862018;STEAMED RICE
0110000862018;MIX VEG OYSTER
0110000862018;FRIED SHREDDED BEEF
0110000862018;LEVANDA ROSE
0110000862018;MINERAL WATER 1.5LT
0110000872018;MALAGOUZIA BOUTARI
0110000882018;SPRING ROLL
0110000882018;NOODLES BEAN SPROUTS
0110000882018;SAMOSA
0110000882018;ALOO BAINGAN
0110000882018;JIRA PULAO
0110000882018;NAAN
0110000882018;ROTI
0110000882018;MIX VEG OYSTER
0110000882018;SPICY SALMON MAKI
0110000892018;SPRING ROLL
0110000892018;TEMPURA MAKI
0110000892018;HOT AND SOUR SOUP
0110000892018;MIXED PLATTER SUSHI
0110000892018;EGG FRIED RICE
0110000892018;SWEET SOUR CHICKEN
0110000892018;MINERAL WATER 1.5LT
0110000902018;PHILADELPHIA MAKI
0110000902018;SPICY SALMON MAKI
0110000902018;SPRING ROLL
0110000902018;SWEET SOUR PORK
0110000902018;BEEF BBS
0110000902018;EGG FRIED RICE
0110000902018;NOODLES WITH MEAT
0110000902018; NO MEAT
0110000902018;CHICKEN MIXED VEGETABLES
0110000902018;MINERAL WATER 1.5LT
0110000912018;MIXED PLATTER SUSHI
0110000912018;NOODLES BEAN SPROUTS
0110000912018;BEEF PEPPER SAUCE
0110000912018;SWEET SOUR CHICKEN
0110000912018;COKE
0110000912018;APPLE JUICE
0110000912018;KEO
0110000922018;1/4 DUCK
0110000922018;SPRING ROLL
0110000922018;SALT PEPPER SQUID
0110000922018;SESAME PRAWNS
0110000922018;BABY PORK
0110000922018;SWEET SOUR CHICKEN
0110000922018;EGG FRIED RICE
0110000922018;NOODLES BEAN SPROUTS
0110000922018;KEO
0110000922018;MINERAL WATER 1.5LT
0110000932018;1/4 DUCK
0110000932018;LEMON CHICKEN
0110000932018;SWEET SOUR CHICKEN
0110000932018;SWEET SOUR PORK
0110000932018;EGG FRIED RICE
0110000932018;STEAMED RICE
0110000932018;KEO
0110000932018;SPRITE
0110000942018;SALT PEPPER PRAWNS
0110000942018;SALT PEPPER SQUID
0110000942018;FRIED SHREDDED BEEF
0110000942018;1/6 DUCK
0110000942018;SPECIAL MONTPARNASSE RICE
0110000942018;BABY PORK
0110000942018;BEEF PEPPER SAUCE
0110000942018;CARLSBERG 33CL
0110000942018;MINERAL WATER 1.5LT
0110000942018;SODA
0110000942018;ORANGE JUICE
0110000952018;MINERAL WATER 1.5LT
0110000952018;1/2 DUCK
0110000952018;SPRING ROLL
0110000952018;SAMOSA
0110000952018;PECKING STYLE PRAWNS
0110000952018;EGG FRIED RICE
0110000952018;FRIED SHREDDED BEEF
0110000952018;NOODLES WITH MEAT
0110000952018;SWEET SOUR PORK
0110000952018;BEEF BBS
0110000952018;MALAI MANGO CHICK
0110000952018;KTHMA GEROVASSILIOU WHITE
0110000952018;KTHMA GEROVASSILIOU WHITE
0110000952018;WHISKY 5CL
0110000952018;J&B
0110000952018;WHISKY 5CL
0110000952018;J&B
0110000952018;TOFFEE BANANA ICECREAM
0110000962018;SPRING ROLL
0110000962018;SALT PEPPER SQUID
0110000962018;1/6 DUCK
0110000962018;CHICKEN BBS
0110000962018;NOODLES WITH MEAT
0110000962018; NO MEAT
0110000962018;EGG FRIED RICE
0110000962018;GLASS WHITE WINE
0110000962018;MINERAL WATER 1.5LT
0110000972018;MINERAL WATER 1.5LT
0110000972018;MINERAL WATER 1.5LT
0110000972018;CARLSBERG 33CL
0110000972018;COKE
0110000972018;COKE
0110000972018;SPRING ROLL
0110000972018;SALT PEPPER PRAWNS
0110000972018;PECKING STYLE PRAWNS
0110000972018;WHOLE DUCK
0110000972018;BEEF BBS
0110000972018;NOODLES BEAN SPROUTS
0110000972018;BABY PORK
0110000972018;SWEET SOUR CHICKEN
0110000972018;PORK WITH GINGER
0110000972018;EGG FRIED RICE
0110000972018;PERRIER
0110000972018;TOFFEE BANANA ICECREAM
0110000972018;TOFFEE BANANA ICECREAM
0110000982018;PHILADELPHIA MAKI
0110000982018;SWEETCORN SOUP
0110000982018;VASSILIKON XYNISTERI
0110000982018;MINERAL WATER 1.5LT
0110000982018;1/4 DUCK
0110000982018;NOODLES WITH MEAT
0110000982018; NO MEAT
0110000982018;SPECIAL MONTPARNASSE RICE
0110000982018;SWEET SOUR CHICKEN
0110000982018;CHICKEN MIXED VEGETABLES
0110000992018;SWEET SOUR CHICKEN
0110000992018;EGG FRIED RICE
0110001002018;SESAME PRAWNS
0110001002018;SPRING ROLL
0110001002018;CHICKEN CASHEW NUTS
0110001002018;BEEF PEPPER SAUCE
0110001002018;EGG FRIED RICE
0110001002018;MINERAL WATER 1.5LT
0110001002018;TOFFEE APPLE ICECREAM
0110001012018;WHOLE DUCK
0110001012018;SWEET SOUR PORK
0110001012018;BEEF BBS
0110001012018;CHICKEN CANTONESE STYLE
0110001012018;EGG FRIED RICE
0110001012018;STEAMED RICE
0110001012018;NOODLES WITH MEAT
0110001012018; NO MEAT
0110001012018;BOUTARI MOSCHOFILERO WHITE
0110001012018;MINERAL WATER 1.5LT
0110001012018;MINERAL WATER 1.5LT
0110001012018;SPRITE
0110001022018;PECKING STYLE PRAWNS
0110001022018;SPRING ROLL
0110001022018;WHOLE DUCK
0110001022018;SWEET SOUR PORK
0110001022018;NOODLES WITH MEAT
0110001022018; NO MEAT
0110001022018;EGG FRIED RICE
0110001022018;CHICKEN MIXED VEGETABLES
0110001022018;SZECHUAN PRAWNS
0110001022018;CHICKEN WITH MUSHROOMS
0110001022018;FRIED SHREDDED BEEF
0110001022018;DIET COKE
0110001022018;COKE
0110001022018;AYIOS ANDRONIKOS XYNISTERI
0110001022018;MINERAL WATER 1.5LT
0110001032018;BBQ SPARE RIBS
0110001032018;SWEET SOUR CHICKEN
0110001032018;CHICKEN WITH GINGER
0110001032018;EGG FRIED RICE
0110001032018;NOODLES WITH MEAT
0110001032018; NO MEAT
0110001032018;MINERAL WATER 1.5LT
0110001032018;COKE
0110001032018;SPRITE
0110001032018;FRUIT JUICE 30CL
0110001032018;FRUIT JUICE 30CL
0110001042018;SPRING ROLL
0110001042018;SESAME PRAWNS
0110001042018;SWEET SOUR CHICKEN
0110001042018;BEEF WITH GINGER
0110001042018;EGG FRIED RICE
0110001042018;MINERAL WATER 1.5LT
0110001042018;GLASS RED WINE
0110001052018;SEAWEED
0110001052018;1/6 DUCK
0110001052018;SWEET SOUR CHICKEN
0110001052018;BABY PORK
0110001052018;EGG FRIED RICE
0110001052018;NOODLES BEAN SPROUTS
0110001052018;MINERAL WATER 1.5LT
0110001052018;AG. ANDRONIKOS 37.5CL WHITE
0110001062018;PHILADELPHIA MAKI
0110001062018;CALIFORNIA MAKI
0110001062018;SPRING ROLL
0110001062018;EGG FRIED RICE
0110001062018;SWEET SOUR CHICKEN
0110001062018;NOODLES WITH MEAT
0110001062018;MINERAL WATER 1.5LT
0110001062018;VELOUDO RED
0110001062018;TOFFEE BANANA COMPLEMENTARY
0110001072018;SPRING ROLL
0110001072018;SALT PEPPER SQUID
0110001072018;CHICKEN SATAY
0110001072018;SESAME PRAWNS
0110001072018;CALIFORNIA MAKI
0110001072018;PHILADELPHIA MAKI
0110001072018;CHICKEN CASHEW NUTS
0110001072018;BEEF PEPPER SAUCE
0110001072018;PRAWNS OYSTER SAUCE
0110001072018;VEG RICE
0110001072018;EGG FRIED RICE
0110001072018;NOODLES BEAN SPROUTS
0110001072018;BUTTER CHICKEN
0110001072018;CHICK KORMA KASHMIRI
0110001072018;JIRA PULAO
0110001072018;PETRITIS KYPEROUNDA
0110001072018;MINERAL WATER 1.5LT
0110001072018;CALIFORNIA MAKI
0110001072018;MINERAL WATER 1.5LT
0110001082018;PHILADELPHIA MAKI
0110001082018;MALAI MANGO CHICK
0110001082018;BEEF PEPPER SAUCE
0110001082018;NOODLES WITH MEAT
0110001082018; NO MEAT
0110001082018;CHICKEN KALIMIRCH TIKKA
0110001082018;MINERAL WATER 1.5LT
0110001082018;GLASS WHITE WINE
0110001082018;KEO
0110001082018;JASMINE TEA
0110001082018;NAAN
0110001092018;LEMON CHICKEN
0110001092018;SWEET SOUR CHICKEN
0110001092018;EGG FRIED RICE
0110001092018;MINERAL WATER 1.5LT
0110001102018;SESAME PRAWNS
0110001102018;SWEET SOUR CHICKEN
0110001102018;BEEF WITH GINGER
0110001102018;EGG FRIED RICE
0110001102018;MINERAL WATER 1.5LT
0110001102018;7UP
0110001112018;MIXED PLATTER SUSHI
0110001112018;CHICK TIKKA MASALA
0110001112018;PRAWNS MIXED VEG
0110001112018;STEAMED RICE
0110001112018;NAAN
0110001112018;MINERAL WATER 1.5LT
0110001112018;COKE
0110001112018;GLASS WHITE WINE
0110001122018;SALT PEPPER SQUID
0110001122018;SPICY SALMON MAKI
0110001122018;1/6 DUCK
0110001122018;EGG FRIED RICE
0110001122018;CHICKEN WITH GINGER
0110001122018;SZECHUAN PRAWNS
0110001122018;COKE ZERO
0110001122018;MINERAL WATER 1.5LT
0110001132018;CALIFORNIA MAKI
0110001132018;TEMPURA MAKI
0110001132018;1/4 DUCK
0110001132018;EGG FRIED RICE
0110001132018;SWEET SOUR CHICKEN
0110001132018;BABY PORK
0110001132018;MINERAL WATER 1.5LT
0110001132018;NAAN
0110001142018;SPRING ROLL
0110001142018;1/6 DUCK
0110001142018;LEMON CHICKEN
0110001142018;SWEET SOUR PRAWNS
0110001142018;VEG RICE
0110001142018;7UP
0110001142018;AG. ANDRONIKOS 37.5CL WHITE
0110001152018;NOODLES MUSHROOM SOUP
0110001152018;SALT PEPPER PRAWNS
0110001152018;SALMON SASHIMI
0110001152018;FUTO MAKI
0110001152018;1/6 DUCK
0110001152018;PRAWNS WITH GINGER
0110001152018;MALAI MANGO CHICK
0110001152018;ALOO PALAK
0110001152018;NOODLES WITH MEAT
0110001152018; NO MEAT
0110001152018;BOUTARI MOSCHOFILERO WHITE
0110001152018;MINERAL WATER 1.5LT
0110001152018;TOFFEE BANANA COMPLEMENTARY
0110001162018;MIXED PLATTER SUSHI
0110001162018;1/4 DUCK
0110001162018;BEEF PEPPER SAUCE
0110001162018;NOODLES BEAN SPROUTS
0110001162018;VEG RICE
0110001162018;MINERAL WATER 1.5LT
0110001162018;PINOT GRIGIO WHITE
0110001162018;CHICKEN CASHEW NUTS
0110001172018;SPRING ROLL
0110001172018;SESAME PRAWNS
0110001172018;SEAWEED
0110001172018;1/6 DUCK
0110001172018;SWEET SOUR CHICKEN
0110001172018;BEEF BBS
0110001172018;EGG FRIED RICE
0110001172018;PETRITIS KYPEROUNDA
0110001172018;TOFFEE BANANA COMPLEMENTARY
0110001182018;SPRING ROLL
0110001182018;1/2 DUCK
0110001182018;SWEET SOUR CHICKEN
0110001182018;BEEF BBS
0110001182018;NOODLES WITH MEAT
0110001182018; NO MEAT
0110001182018;EGG FRIED RICE
0110001182018;MINERAL WATER 1.5LT
0110001182018;ANDESITIS RED
0110001182018;DIET 7UP
0110001192018;SPRING ROLL
0110001192018;CHICKEN BBS
0110001192018;STEAMED RICE
0110001192018;JASMINE TEA
0110001192018;MINERAL WATER 1.5LT
0110001202018;SWEETCORN SOUP
0110001202018;SPRING ROLL
0110001202018;1/4 DUCK
0110001202018;CHICKEN BBS
0110001202018;SWEET SOUR CHICKEN
0110001202018;BABY PORK
0110001202018;SPECIAL MONTPARNASSE RICE
0110001202018;FOOD
0110001202018;MINERAL WATER 1.5LT
0110001202018;ROSE KYPEROUNDAS
0110001202018;TOFFEE BANANA COMPLEMENTARY
0120000102018;CHICKEN SATAY
0120000102018;SPRING ROLL
0120000102018;CHICKEN WITH GINGER
0120000102018;NOODLES WITH MEAT
0120000102018; NO MEAT
0120000102018;VEG RICE
0120000102018;MINERAL WATER 1.5LT
0120000102018;FRIED SHREDDED BEEF
0120000102018;CHINESE BEER 33CL
0120000102018;TOFFEE BANANA COMPLEMENTARY
0120000112018;CHICKEN SATAY
0120000112018;SPRING ROLL
0120000112018;SESAME PRAWNS
0120000112018;CHICKEN CASHEW NUTS
0120000112018;SWEET SOUR PORK
0120000112018;BEEF BBS
0120000112018;NOODLES WITH MEAT
0120000112018; NO MEAT
0120000112018;PRAWNS MIXED VEG
0120000112018;CHICK TIKKA MASALA
0120000112018;CHICK KORMA KASHMIRI
0120000112018;CAULIFLOWER GUNCHAO
0120000112018;EGG FRIED RICE
0120000112018;EGG FRIED RICE
0120000112018; NO ONION
0120000112018;JIRA PULAO
0120000112018;NAAN
0120000112018;NAAN
0120000112018;MINERAL WATER 1.5LT
0120000112018;VELOUDO RED
0120000112018;COKE
0120000112018;DIET COKE
0120000112018;PERRIER
0120000112018;VELOUDO RED
0120000112018;COKE ZERO
0120000112018;TOFFEE BANANA COMPLEMENTARY
0120000122018;MIXED PLATTER SUSHI
0120000122018;BEEF PEPPER SAUCE
0120000122018;CHICKEN BBS
0120000122018;EGG FRIED RICE
0120000122018;MINERAL WATER 1.5LT
0120000122018;COKE ZERO
0120000132018;SPRING ROLL
0120000132018;1/6 DUCK
0120000132018;FOOD
0120000132018;SWEET SOUR CHICKEN
0120000132018;CHICK TIKKA MASALA
0120000132018;JIRA PULAO
0120000132018;MINERAL WATER 1.5LT
0120000132018;CYPRUS COFFEE
0120000142018;LEMON CHICKEN
0120000142018;CHICK KORMA KASHMIRI
0120000142018;CHICKEN CASHEW NUTS
0120000142018;NOODLES WITH MEAT
0120000142018;COKE
0120000142018;MINERAL WATER 1.5LT
0120000142018;EGG FRIED RICE
0120000142018;MINERAL WATER 1.5LT
0120000152018;SPRING ROLL
0120000152018;1/6 DUCK
0120000152018;SWEET SOUR CHICKEN
0120000152018;BEEF BBS
0120000152018;EGG FRIED RICE
0120000152018;MINERAL WATER 1.5LT
0120000152018;GLASS WHITE WINE
0120000152018;GLASS WHITE WINE
0110001212018;SPRING ROLL
0110001212018;FRIED SHREDDED BEEF
0110001212018;SWEET SOUR CHICKEN
0110001212018;STEAMED RICE
0110001212018;COKE ZERO
0110001222018;SPRING ROLL
0110001222018;1/4 DUCK
0110001222018;BEEF BBS
0110001222018;CHICKEN CASHEW NUTS
0110001222018;BABY PORK
0110001222018;EGG FRIED RICE
0110001222018;MINERAL WATER 1.5LT
0110001222018;PETRITIS KYPEROUNDA
0110001232018;ORANGE JUICE
0110001232018;BIBLIA CHORA WHITE
0110001232018;SWEETCORN SOUP
0110001232018;CROUCHING TIGER
0110001232018;DRAGON MAKI
0110001232018;1/4 DUCK
0110001232018;CHICKEN TIKKA
0110001232018;LAMB ROGAN JOSH
0110001232018;MIX VEG
0110001232018;COFFEE COMPLIMENTARY
0110001242018;SPRING ROLL
0110001242018;TIN JIAN STYLE CHICKEN
0110001242018;PORK BBS
0110001242018;MIX VEG
0110001242018;SHRIMP FRIED RICE
0110001242018;KEO
0110001242018;GLASS RED WINE
0110001252018;1/4 DUCK
0110001252018;CROUCHING TIGER
0110001252018;CHICKEN MIXED VEGETABLES
0110001252018;FOOD
0110001252018;GLASS RED WINE
0110001262018;VASSILIKON XYNISTERI
0110001262018;AGIOS OUNOFRIOS RED
0110001262018;MINERAL WATER 1.5LT
0110001262018;GLASS WINE ROSE
0110001262018;COKE
0110001272018;FOOD
0110001282018;HOT AND SOUR SOUP
0110001282018;SWEETCORN SOUP
0110001282018;1/2 DUCK
0110001282018;SWEET SOUR PORK
0110001282018;BEEF BBS
0110001282018;SZECHUAN PRAWNS
0110001282018;NOODLES WITH MEAT
0110001282018; NO MEAT
0110001282018;EGG FRIED RICE
0110001282018;ALOO BAINGAN
0110001282018;MINERAL WATER 1.5LT
0110001282018;MINERAL WATER 1.5LT
0110001292018;MINERAL WATER 1.5LT
0110001292018;MINERAL WATER 1.5LT
0110001292018;IMPORTED BEER 33CL
0110001292018;IMPORTED BEER 33CL
0110001292018;IMPORTED BEER 33CL
0110001292018;IMPORTED BEER 33CL
0110001292018;MINERAL WATER 1.5LT
0110001292018;VELOUDO RED
0110001292018;SAMOSA
0110001292018;ONION BADJI
0110001292018;IMPORTED BEER 33CL
0110001292018;PALAK PANEER
0110001292018;BUTTER CHICKEN
0110001292018;CHICK KORMA KASHMIRI
0110001292018;MALAI MANGO CHICK
0110001292018;CHICK TIKKA MASALA
0110001292018;CHICK TIKKA BHUNA
0110001292018;JUNGLEE MANS
0110001292018;JIRA PULAO
0110001292018;NAAN
0110001292018;NAAN
0110001292018;PESHWARI NAAN
0110001292018;IMPORTED BEER 33CL
0110001292018;CARRAT HALWA
0110001292018;MINERAL WATER 1.5LT
0110001302018;GLASS WHITE WINE
0110001302018;GLASS WHITE WINE
0110001302018;WHISKY PREMIUM 5CL
0110001302018;TANDOORI TILL JHEENGA
0110001302018;CHICKEN TIKKA
0110001302018;WHISKY PREMIUM 5CL
0110001302018;GLASS WHITE WINE
0110001302018;CHICKEN TIKKA
0110001302018;GLASS WHITE WINE
0110001302018;POPPDUMS
0110001302018;WHISKY PREMIUM 5CL
0110001302018;MEEN MOILEE
0110001302018;CHICKEN KALIMIRCH TIKKA
0110001302018;GLASS WHITE WINE
0110001302018;GLASS WHITE WINE
0110001302018;GLASS WHITE WINE
0110001302018;WHISKY PREMIUM 5CL
0110001302018;WHISKY PREMIUM 5CL
0110001302018;MINERAL WATER 1.5LT
0110001302018;YELLOW DAL DHABA
0110001302018;LAMB ROGAN JOSH
0110001302018;JIRA PULAO
0110001302018;NAAN
0110001302018;GLASS WHITE WINE
0110001302018;GLASS WHITE WINE
0110001302018;WHISKY PREMIUM 5CL
0110001302018;NAAN
0110001302018;GLASS WHITE WINE
0110001312018;SPRING ROLL
0110001312018;SALT PEPPER PRAWNS
0110001312018;1/4 DUCK
0110001312018;LEMON CHICKEN
0110001312018;SWEET SOUR PORK
0110001312018;BEEF BBS
0110001312018;BABY PORK
0110001312018;SPECIAL MONTPARNASSE RICE
0110001312018;EGG FRIED RICE
0110001312018;MINERAL WATER 1.5LT
0110001312018;COKE ZERO
0110001312018;MINERAL WATER 1.5LT
0110001322018;1/2 DUCK
0110001322018;SWEET SOUR PORK
0110001322018;EGG FRIED RICE
0110001322018;CHICK TIKKA MASALA
0110001322018;LAMB ROGAN JOSH
0110001322018;CHICK KORMA KASHMIRI
0110001322018;ALOO BAINGAN
0110001322018;JIRA PULAO
0110001322018;NAAN
0110001322018;MINERAL WATER 1.5LT
0110001322018;MINERAL WATER 1.5LT
0110001322018;DIET 7UP
0110001322018;DIET 7UP
0110001322018;JIRA PULAO
0110001322018;MINERAL WATER 1.5LT
0110001332018;INDIAN BUFFET
0110001332018;KEO
0110001332018;MINERAL WATER 1.5LT
0110001342018;SPRING ROLL
0110001342018;FRIED SHREDDED BEEF
0110001342018;SWEET SOUR PORK
0110001342018;CHICKEN BBS
0110001342018;EGG FRIED RICE
0110001342018;NOODLES WITH MEAT
0110001342018;MINERAL WATER 1.5LT
0110001342018;GLASS WHITE WINE
0110001342018;GLASS RED WINE
0110001342018;COKE ZERO
0110001342018;TOFFEE BANANA COMPLEMENTARY
0110001352018;ONION BADJI
0110001352018;DUO TANDOORI FLOWERS
0110001352018;BUTTER CHICKEN
0110001352018;LAMB ROGAN JOSH
0110001352018;JIRA PULAO
0110001352018;PESHWARI NAAN
0110001352018;CAULIFLOWER GUNCHAO
0110001352018;MINERAL WATER 1.5LT
0110001352018;PETRITIS KYPEROUNDA
0110001352018;COFFEE COMPLIMENTARY
0110001362018;KEO
0110001362018;SAMOSA
0110001362018;ONION BADJI
0110001362018;CHICKEN TIKKA
0110001362018;NAAN
0110001362018;JIRA PULAO
0110001372018;1/6 DUCK
0110001372018;EGG FRIED RICE
0110001372018;BABY PORK
0110001372018;LEMON CHICKEN
0110001372018;MINERAL WATER 1.5LT
0110001372018;CARLSBERG 33CL
0110001382018;HOT AND SOUR SOUP
0110001382018;SPRING ROLL
0110001382018;SESAME PRAWNS
0110001382018;1/2 DUCK
0110001382018;SWEET SOUR CHICKEN
0110001382018;BEEF BBS
0110001382018;PRAWNS BBS
0110001382018;SPECIAL MONTPARNASSE RICE
0110001382018;STEAMED RICE
0110001382018;NOODLES WITH MEAT
0110001382018; NO MEAT
0110001382018;MINERAL WATER 1.5LT
0110001382018;MATEUS ROSE
0110001382018;MINERAL WATER 1.5LT
0110001382018;TOFFEE BANANA COMPLEMENTARY
0110001382018;TOFFEE BANANA COMPLEMENTARY
0110001392018;SPRING ROLL
0110001392018;1/2 DUCK
0110001392018;SWEET SOUR CHICKEN
0110001392018;BEEF BBS
0110001392018;SWEET SOUR PRAWNS
0110001392018;EGG FRIED RICE
0110001392018;NOODLES WITH MEAT
0110001392018; NO MEAT
0110001392018;MINERAL WATER 1.5LT
0110001392018;DIET 7UP
0110001392018;DIET COKE
0110001392018;COKE
0110001392018;COKE
0110001392018;TOFFEE BANANA COMPLEMENTARY
0110001392018;TOFFEE APPLE COMPLEMENTARY
0110001402018;SPRING ROLL
0110001402018;1/4 DUCK
0110001402018;CHICKEN CASHEW NUTS
0110001402018;SWEET SOUR CHICKEN
0110001402018;BEEF BBS
0110001402018;NOODLES WITH MEAT
0110001402018; NO MEAT
0110001402018;EGG FRIED RICE
0110001402018;MINERAL WATER 1.5LT
0110001402018;VLASSIDES SHIRAZ
0110001402018;MINERAL WATER 1.5LT
0110001412018;SPRING ROLL
0110001412018;1/4 DUCK
0110001412018;EGG FRIED RICE
0110001412018;CHICKEN MIXED VEGETABLES
0110001412018;BEEF BBS
0110001412018;PORK WITH GINGER
0110001412018;CARLSBERG 33CL
0110001412018;COKE ZERO
0110001412018;MINERAL WATER 1.5LT
0110001412018;CARLSBERG 33CL
0110001412018;EGG FRIED RICE
0110001412018;TOFFEE BANANA COMPLEMENTARY
0110001422018;SALT PEPPER SQUID
0110001422018;1/6 DUCK
0110001422018;SWEET SOUR CHICKEN
0110001422018;BEEF PEPPER SAUCE
0110001422018;STEAMED RICE
0110001422018;LEMON CHICKEN
0110001422018;PRAWNS MIXED VEG
0110001422018;NOODLES BEAN SPROUTS
0110001422018;MINERAL WATER 1.5LT
0110001422018;PETRITIS KYPEROUNDA
0110001422018;MINERAL WATER 1.5LT
0110001422018;TOFFEE BANANA COMPLEMENTARY
0110001432018;SESAME PRAWNS
0110001432018;SWEET SOUR CHICKEN
0110001432018;FRIED SHREDDED BEEF
0110001432018;PRAWNS OYSTER SAUCE
0110001432018;EGG FRIED RICE
0110001432018;MINERAL WATER 1.5LT
0110001432018;MATEUS 37.5CL
0120000162018;SAMOSA
0120000162018;ONION BADJI
0120000162018;CHICK KORMA KASHMIRI
0120000162018;JIRA PULAO
0120000162018;ALOO PALAK
0120000162018;PESHWARI NAAN
0120000162018;MINERAL WATER 1.5LT
0120000162018;KEO
0120000162018;GLASS RED WINE
0120000172018;MINERAL WATER 1.5LT
0120000172018;IMPORTED BEER 33CL
0120000172018;BIBLIA CHORA RED
0120000172018;CARLSBERG 33CL
0120000172018;CARLSBERG 33CL
0120000172018;CARLSBERG 33CL
0120000172018;HOT AND SOUR SOUP
0120000172018;SPRING ROLL
0120000172018;SALT PEPPER PRAWNS
0120000172018;SESAME PRAWNS
0120000172018;CALIFORNIA MAKI
0120000172018;SALMON SASHIMI
0120000172018;WHOLE DUCK
0120000172018;BABY PORK
0120000172018;SWEET SOUR PORK
0120000172018;BEEF BBS
0120000172018;SPECIAL MONTPARNASSE RICE
0120000172018;CARLSBERG 33CL
0120000172018;CARLSBERG 33CL
0120000172018;MINERAL WATER 1.5LT
0120000182018;BUFFET SUSHI
0120000182018;MINERAL WATER 1.5LT
0120000192018;BUFFET SUSHI
0120000192018;FANTA
0120000192018;DIET 7UP
0120000192018;DIET COKE
0120000192018;MINERAL WATER 1.5LT
0120000192018;FANTA
0120000202018;BUFFET SUSHI
0120000202018;ANDESITIS RED
0120000202018;MINERAL WATER 1.5LT
0120000202018;TOFFEE BANANA COMPLEMENTARY
0110001442018;1/6 DUCK
0110001442018;MEEN MOILEE
0110001442018;JUNGLEE MANS
0110001442018;STEAMED RICE IND
0110001442018;NAAN
0110001442018;PERRIER
0110001442018;GLASS RED WINE
0110001442018;GLASS RED WINE
0110001452018;BUFFET SUSHI
0110001452018;MINERAL WATER 1.5LT
0110001452018;GLASS WHITE WINE
0110001462018;BUFFET SUSHI
0110001462018;MINERAL WATER 1.5LT
0110001462018;CARLSBERG 33CL
0110001462018;GLASS WHITE WINE
0110001462018;CARLSBERG 33CL
0110001472018;NAAN
0110001472018;MINERAL WATER 1.5LT
0110001472018;COKE
0110001472018;AG. ANDRONIKOS 37.5CL WHITE
0110001472018;BUFFET SUSHI
0110001482018;BUFFET SUSHI
0110001482018;MINERAL WATER 1.5LT
0110001482018;CARLSBERG 33CL
0110001492018;BUFFET SUSHI
0110001492018;GLASS WHITE WINE
0110001492018;MINERAL WATER 1.5LT
0110001492018;TOFFEE BANANA COMPLEMENTARY
0110001502018;BUFFET SUSHI
0110001502018;MINERAL WATER 1.5LT
0110001512018;BUFFET SUSHI
0110001512018;KEO
0110001512018;CARLSBERG 33CL
0110001512018;MATEUS 37.5CL
0110001512018;MINERAL WATER 1.5LT
0110001522018;BUFFET SUSHI
0110001522018;MINERAL WATER 1.5LT
0110001532018;BUFFET SUSHI
0110001532018;MINERAL WATER 1.5LT
0110001532018;TOFFEE BANANA COMPLEMENTARY
0110001542018;BUFFET SUSHI
0110001542018;MINERAL WATER 1.5LT
0110001542018;BOUTARI MOSCHOFILERO WHITE
0110001552018;BUFFET SUSHI
0110001552018;MINERAL WATER 1.5LT
0110001552018;PETRITIS KYPEROUNDA
0110001552018;MINERAL WATER 1.5LT
0110001562018;BUFFET SUSHI
0110001562018;1/4 DUCK
0110001562018;MINERAL WATER 1.5LT
0110001562018;MINERAL WATER 1.5LT
0110001572018;BUFFET SUSHI
0110001572018;1/6 DUCK
0110001572018;SPRING ROLL
0110001572018;SAMOSA CHICKEN
0110001572018;FRIED SHREDDED BEEF
0110001572018;MALAI MANGO CHICK
0110001572018;BABY PORK
0110001572018;EGG FRIED RICE
0110001572018;MINERAL WATER 1.5LT
0110001572018;AYIOS ANDRONIKOS XYNISTERI
0110001572018;NAAN
0110001582018;BUFFET SUSHI
0110001582018;MINERAL WATER 1.5LT
0110001592018;BUFFET SUSHI
0110001592018;MINERAL WATER 1.5LT
0110001602018;BUFFET SUSHI
0110001602018;MINERAL WATER 1.5LT
0110001602018;COKE ZERO
0110001602018;COKE
0110001602018;TOFFEE BANANA COMPLEMENTARY
0110001612018;BUFFET SUSHI
0110001612018;MINERAL WATER 1.5LT
0110001612018;CHINESE BEER 33CL
0110001612018;7UP
0110001612018;MINERAL WATER 1.5LT
0110001612018;TOFFEE BANANA COMPLEMENTARY
0110001622018;BUFFET SUSHI
0110001622018;MINERAL WATER 1.5LT
0110001622018;TOFFEE BANANA COMPLEMENTARY
