DocNumber;ProductDesignation
0110000182018;COKE ZERO
0110000182018;FRUIT JUICE 30CL
0110000182018;TOFFEE BANANA COMPLEMENTARY
0110000192018;SPRING ROLL
0110000192018;SESAME PRAWNS
0110000192018;BEEF BBS
0110000192018;SWEET SOUR CHICKEN
0110000192018;EGG FRIED RICE
0110000192018;NOODLES WITH MEAT
0110000192018; NO MEAT
0110000192018;MINERAL WATER 1.5LT
0110000192018;IMPORTED BEER 33CL
0110000192018;IMPORTED BEER 33CL
0110000202018;PRAWN PURI
0110000202018;CHICK TIKKA MASALA
0110000202018;MEEN MOILEE
0110000202018;JIRA PULAO
0110000202018;NAAN
0110000202018;MINERAL WATER 1.5LT
0110000202018;SANDORINI BOUTARI
0110000212018;SAMOSA CHICKEN
0110000212018;JIRA PULAO
0110000212018;CHICK TIKKA BHUNA
0110000212018;CHICK TIKKA MASALA
0110000212018;NAAN
0110000212018;MINERAL WATER 1.5LT
0110000212018;VASSILIKON XYNISTERI
0120000012018;FRIED SHREDDED BEEF
0120000012018;MIXED PLATTER SUSHI
0120000012018;1/4 DUCK
0120000012018;BEEF OYSTER SAUCE
0120000012018;EGG FRIED RICE
0120000012018;PERRIER
0120000022018;SPRING ROLL
0120000022018;1/4 DUCK
0120000022018;SPECIAL MONTPARNASSE RICE
0120000022018;SWEET SOUR CHICKEN
0120000022018;BEEF BBS
0120000022018;MINERAL WATER 1.5LT
0120000022018;NOODLES WITH MEAT
0120000022018;MINERAL WATER 1.5LT
0120000022018;MATEUS 37.5CL
0120000032018;TEMPURA MAKI
0120000032018;1/4 DUCK
0120000032018;JUNGLEE MANS
0120000032018;SHRIMP FRIED RICE
0120000032018;CHICK TIKKA MASALA
0120000032018;PALAK PANEER
0120000032018;JIRA PULAO
0120000032018;PESHWARI NAAN
0120000032018;MINERAL WATER 1.5LT
0120000032018;AGIOS OUNOFRIOS RED
0120000032018;MINERAL WATER 1.5LT
0120000042018;BUFFET SUSHI
0120000042018;MINERAL WATER 1.5LT
0120000052018;MINERAL WATER 1.5LT
0120000052018;DIET COKE
0120000052018;BUFFET SUSHI
0120000052018;PETRITIS KYPEROUNDA
0120000052018;MINERAL WATER 1.5LT
0120000052018;TOFFEE BANANA COMPLEMENTARY
0110000222018;BUFFET SUSHI
0110000222018;PERRIER
0110000222018;JASMINE TEA
0110000232018;1/4 DUCK
0110000232018;VEG RICE
0110000232018;NOODLES BEAN SPROUTS
0110000232018;SWEET SOUR CHICKEN
0110000232018;LEMON CHICKEN
0110000232018;BEEF OYSTER SAUCE
0110000232018;MINERAL WATER 1.5LT
0110000232018;CARLSBERG 33CL
0110000242018;BUFFET SUSHI
0110000242018;MINERAL WATER 1.5LT
0110000242018;WHISKY PREMIUM 5CL
0110000242018;SPIRITS 5CL
0110000242018;COKE
0110000252018;BUFFET SUSHI
0110000252018;MINERAL WATER 1.5LT
0110000262018;BUFFET SUSHI
0110000262018;MINERAL WATER 1.5LT
0110000262018;GLASS WINE ROSE
0110000262018;GLASS WINE ROSE
0110000272018;ALOO BAINGAN
0110000272018;JIRA PULAO
0110000272018;ALOO PALAK
0110000272018;DIET 7UP
0110000282018;SPRING ROLL
0110000282018;1/6 DUCK
0110000282018;SWEET SOUR PORK
0110000282018;NOODLES WITH MEAT
0110000282018; NO MEAT
0110000282018;MINERAL WATER 1.5LT
0110000292018;BUFFET SUSHI
0110000292018;MINERAL WATER 1.5LT
0110000302018;BUFFET SUSHI
0110000302018;MINERAL WATER 1.5LT
0110000302018;TOFFEE BANANA COMPLEMENTARY
0110000312018;BUFFET SUSHI
0110000312018;MINERAL WATER 1.5LT
0110000312018;COKE ZERO
0110000312018;GLASS WHITE WINE
0110000322018;MINERAL WATER 1.5LT
0110000322018;BUFFET SUSHI
0110000332018;BUFFET SUSHI
0110000332018;MINERAL WATER 1.5LT
0110000332018;MINERAL WATER 1.5LT
0110000332018;MINERAL WATER 1.5LT
0110000342018;BUFFET SUSHI
0110000342018;MINERAL WATER 1.5LT
0110000342018;COKE ZERO
0110000352018;BUFFET SUSHI
0110000352018;MINERAL WATER 1.5LT
0110000362018;BUFFET SUSHI
0110000362018;MINERAL WATER 1.5LT
0110000362018;GLASS WHITE WINE
0110000372018;BUFFET SUSHI
0110000372018;MINERAL WATER 1.5LT
0110000372018;COKE
0110000372018;COKE ZERO
0110000372018;TOFFEE BANANA COMPLEMENTARY
0110000382018;BUFFET SUSHI
0110000382018;MINERAL WATER 1.5LT
0110000392018;BUFFET SUSHI
0110000392018;MINERAL WATER 1.5LT
0110000392018;MINERAL WATER 1.5LT
0110000402018;BUFFET SUSHI
0110000402018;VASSILIKON XYNISTERI
0110000402018;MINERAL WATER 1.5LT
0110000402018;VASSILIKON XYNISTERI
0110000412018;BUFFET SUSHI
0110000412018;MINERAL WATER 1.5LT
0110000422018;MINERAL WATER 1.5LT
0110000422018;MINERAL WATER 1.5LT
0110000422018;BUFFET SUSHI
0110000422018;COFFEE COMPLIMENTARY
0110000432018;BUFFET SUSHI
0110000432018;MINERAL WATER 1.5LT
0110000432018;THISBE WHITE
0110000432018;TOFFEE BANANA COMPLEMENTARY
0110000432018;COFFEE COMPLIMENTARY
0110000442018;BUFFET SUSHI
0110000442018;MINERAL WATER 1.5LT
0110000442018;MATEUS ROSE
0110000442018;BOUTARI MOSCHOFILERO WHITE
0110000442018;7UP
0110000442018;MINERAL WATER 1.5LT
0110000452018;BUFFET SUSHI
0110000452018;VASSILIKON XYNISTERI
0110000452018;MINERAL WATER 1.5LT
0110000462018;SPRING ROLL
0110000462018;SALMON SASHIMI
0110000462018;TEMPURA MAKI
0110000462018;1/2 DUCK
0110000462018;MINERAL WATER 1.5LT
0110000462018;PETRITIS KYPEROUNDA
0110000462018;SEAWEED
0110000462018;CHICKEN TIKKA
0110000462018;TANDOORI CHICK WHOLE
0110000462018;BEEF BBS
0110000462018;PRAWNS OYSTER SAUCE
0110000462018;BABY PORK
0110000462018;STEAMED RICE
0110000462018;EGG FRIED RICE
0110000462018;MINERAL WATER 1.5LT
0110000462018;PETRITIS KYPEROUNDA
0110000462018;PETRITIS KYPEROUNDA
0110000462018;TOFFEE BANANA COMPLEMENTARY
0110000472018;SEAWEED
0110000472018;SPRING ROLL
0110000472018;SESAME PRAWNS
0110000472018;1/2 DUCK
0110000472018;SWEET SOUR CHICKEN
0110000472018;EGG FRIED RICE
0110000472018;STEAMED RICE
0110000472018;BEEF WITH GINGER
0110000472018;SWEET SOUR PORK
0110000472018;MIX VEG
